idbase,ponderador,variable,value,sort_value
992.0,0.8689247454382582,sexo,Mujer,2.0
1015.0,0.6678195218138128,sexo,Mujer,2.0
1074.0,1.217562046721443,sexo,Hombre,1.0
1108.0,0.6863097088348782,sexo,Mujer,2.0
1167.0,0.8689247454382582,sexo,Mujer,2.0
1229.0,0.8689247454382582,sexo,Mujer,2.0
1237.0,0.6863097088348782,sexo,Mujer,2.0
1239.0,0.8689247454382582,sexo,Mujer,2.0
1344.0,0.8455146423265579,sexo,Mujer,2.0
1345.0,0.8455146423265579,sexo,Mujer,2.0
1390.0,0.9357676922988912,sexo,Hombre,1.0
1434.0,0.8634700259113033,sexo,Mujer,2.0
1514.0,1.191133815660212,sexo,Mujer,2.0
1546.0,1.6690505525687327,sexo,Hombre,1.0
1583.0,1.217562046721443,sexo,Hombre,1.0
1607.0,0.8689247454382582,sexo,Mujer,2.0
1645.0,0.8689247454382582,sexo,Mujer,2.0
1664.0,1.217562046721443,sexo,Hombre,1.0
1716.0,0.6863097088348782,sexo,Mujer,2.0
1721.0,1.217562046721443,sexo,Hombre,1.0
1723.0,0.8689247454382582,sexo,Mujer,2.0
1807.0,1.1847591449646682,sexo,Hombre,1.0
1847.0,0.6678195218138128,sexo,Mujer,2.0
2029.0,1.217562046721443,sexo,Hombre,1.0
