idbase,ponderador,variable,value,index,raw_value
2256.0,0.9357676922988913,sexo,Hombre,2613,2
2311.0,1.1847591449646682,sexo,Hombre,2613,2
682.0,1.1847591449646682,sexo,Hombre,2613,2
2062.0,1.217562046721443,sexo,Hombre,2613,2
1567.0,1.217562046721443,sexo,Hombre,2613,2
2386.0,1.1847591449646682,sexo,Hombre,2613,2
372.0,1.217562046721443,sexo,Hombre,2613,2
1618.0,1.217562046721443,sexo,Hombre,2613,2
2233.0,1.1847591449646682,sexo,Hombre,2613,2
2087.0,1.1847591449646682,sexo,Hombre,2613,2
1986.0,1.217562046721443,sexo,Hombre,2613,2
1548.0,1.217562046721443,sexo,Hombre,2613,2
2012.0,1.217562046721443,sexo,Hombre,2613,2
829.0,1.2099187387061097,sexo,Hombre,2613,2
879.0,1.2099187387061097,sexo,Hombre,2613,2
832.0,0.9556396933504712,sexo,Hombre,2613,2
1388.0,0.9357676922988913,sexo,Hombre,2613,2
1950.0,1.1847591449646682,sexo,Hombre,2613,2
652.0,0.9357676922988913,sexo,Hombre,2613,2
1686.0,1.217562046721443,sexo,Hombre,2613,2
817.0,0.9357676922988913,sexo,Hombre,2613,2
823.0,1.2099187387061097,sexo,Hombre,2613,2
869.0,0.9556396933504712,sexo,Hombre,2613,2
1130.0,1.217562046721443,sexo,Hombre,2613,2
1227.0,1.217562046721443,sexo,Hombre,2613,2
1992.0,1.217562046721443,sexo,Hombre,2613,2
2198.0,1.217562046721443,sexo,Hombre,2613,2
2201.0,1.217562046721443,sexo,Hombre,2613,2
1821.0,0.9357676922988913,sexo,Hombre,2613,2
880.0,1.2099187387061097,sexo,Hombre,2613,2
2127.0,1.1847591449646682,sexo,Hombre,2613,2
2166.0,1.423894482151761,sexo,Hombre,2613,2
1792.0,1.1847591449646682,sexo,Hombre,2613,2
2197.0,1.217562046721443,sexo,Hombre,2613,2
190.0,1.217562046721443,sexo,Hombre,2613,2
1193.0,1.217562046721443,sexo,Hombre,2613,2
1658.0,1.217562046721443,sexo,Hombre,2613,2
298.0,1.217562046721443,sexo,Hombre,2613,2
940.0,1.2099187387061097,sexo,Hombre,2613,2
1297.0,0.9357676922988913,sexo,Hombre,2613,2
1748.0,1.1847591449646682,sexo,Hombre,2613,2
1879.0,1.2099187387061097,sexo,Hombre,2613,2
2084.0,0.9357676922988913,sexo,Hombre,2613,2
2185.0,1.217562046721443,sexo,Hombre,2613,2
772.0,1.1847591449646682,sexo,Hombre,2613,2
1497.0,1.1847591449646682,sexo,Hombre,2613,2
1913.0,1.2099187387061097,sexo,Hombre,2613,2
